Products Name,Price
SPRITZER MINERAL WATER 250ML,RM0.79
DASANI DRINKING WATER 600ML,RM0.85
CACTUS MINERAL WATER 500ML,RM0.90
DASANI MINERAL WATER 600ML,RM0.95
MOMA WATER PREMIUM 500ML,RM1.20
SPRITZER DRINKING WATER 550ML,RM1.21
SPRITZER MINERAL WATER 550ML,RM1.40
CACTUS MINERAL WATER 1.5L,RM1.45
DASANI DRINKING WATER 1.5L,RM1.50
ICE MOUNTAIN MINERAL WATER 1.5L,RM1.55
DRINHO SOYA BEAN 300ML,RM1.58
DRINHO LYCHEE 300ML,RM1.58
F&N GINGER ADE CAN 325ML,RM1.70
F&N GRAPE CAN 325ML,RM1.70
F&N ICE CREAM SODA 325ML,RM1.70
SEASONS GRASS JELLY 300ML,RM1.70
SEASONS ICE LEMON TEA 300ML,RM1.70
SEASONS WATER CHESTNUT 300ML,RM1.70
F&N FRUITADE 325ML,RM1.70
F&N ORANGE CAN 325ML,RM1.70
F&N SARSI CAN 325ML,RM1.70
F&N STRAWBERRY CAN 325ML,RM1.70
F&N ZAPPEL CAN 325ML,RM1.70
FANTA ORANGE CAN 320ML,RM1.70
SEASONS CHRYSANTHEMUM 300ML,RM1.70
SEASONS WINTER MELON 300ML,RM1.70
100 PLUS LEMON LIME 325ML,RM1.75
100 PLUS ORIGINAL 325ML,RM1.75
AUTHENTIC TEA HOUSE AYATAKA 300ML,RM1.75
AUTHENTIC TEA HOUSE OOLONG TEA 300ML,RM1.75
HEAVEN&EARTH ICE PASSION FRUIT CAN 300ML,RM1.75
SEASONS ICE PEACH TEA PET 380ML,RM1.80
3 LEGS COOLING WATER 200ML,RM1.85
FANTA STRAWBERRY 500ML,RM1.90
FANTA ORANGE 500ML,RM1.90
PEPSI BLACK 320ML,RM1.95
PEPSI CAN 320ML,RM1.95
7UP CAN 320ML,RM1.95
KICKAPOO CAN 320ML,RM1.95
7UP REVIVE CAN 320ML,RM1.95
EAU CLAIRE MINERAL WATER 1.5L,RM2.00
OYOSHI HONEY LEMON GREEN TEA PET 380ML,RM2.00
DASANI MINERAL WATER 1.5L,RM2.00
OYOSHI LYCHEE GREEN TEA 380ML,RM2.00
FRUIT TREE APPLE ALOE 300ML,RM2.05
FRUIT TREE LYCHEE NDC 300ML,RM2.05
FRUIT TREE MANGO NDCO 300ML,RM2.05
SPRITZER SPARKLING MINERAL WATER 400ML,RM2.06
A&W SARSAPARILLA 320ML,RM2.10
COCA COLA ZERO SUGAR CAN 320ML,RM2.10
SEASONS APPLE POMEGRANATE 380ML,RM2.10
COCA-COLA RASA ASLI 320ML,RM2.10
SPRITE CAN 320ML,RM2.10
F&N ORANGE 500ML,RM2.20
F&N STRAWBERRY 500ML,RM2.20
F&N FRUITADE 500ML,RM2.20
F&N SARSI 500ML,RM2.20
F&N GRAPE 500ML,RM2.20
F&N ZAPPEL 500ML,RM2.20
SALTCOLA DRINK 320ML,RM2.20
COCA COLA VANILLA 320ML,RM2.25
V-SOY MULTIGRAIN SOYA BEAN 300ML,RM2.70
100 PLUS ACTIVE ASP 500ML,RM2.30
100 PLUS LEMON LIME 500ML,RM2.30
100 PLUS ORIGINAL 500ML,RM2.30
100 PLUS ORIGINAL RS 500ML,RM2.30
100 PLUS ORIGINAL ZERO 500ML,RM2.30
MOMA WATER PREMIUM 1.5L,RM2.35
POKKA RICH COFFEE CAN 240ML,RM2.60
POKKA PREMIUM MOCHA COFFEE 240ML,RM2.60
TROPICANA TWISTER ORANGE 355ML,RM2.40
A&W SARSAPARILLA 500ML,RM2.40
SPRITE 500ML,RM2.40
COCA-COLA ZERO SUGAR 500ML,RM2.40
COCA COLA RASA ASLI 500ML,RM2.40
HOMESOY BROWN SUGAR 300ML,RM2.40
HOMESOY SOYA 300ML,RM2.40
SPRITZER DRINKING WATER 1.25L,RM2.42
TROPICANA TWISTER APPLE 355ML,RM2.50
POKKA LEMON TEA 500ML,RM2.90
POKKA JASMINE GREEN TEA NO SUGAR 500ML,RM2.90
POKKA OOLONG TEA 500ML,RM2.90
SPRITZER MINERAL WATER 1.25L,RM2.60
COCA COLA VANILLA 500ML,RM2.60
SCHWEPPES TONIC WATER 320ML,RM2.60
SCHWEPPES SODA WATER 320ML,RM2.60
SCHWEPPES DRY GINGER ALE 320ML,RM2.60
WONDA EXTRA PRESSO ORIGINAL 240ML,RM2.65
PEPSI 500ML,RM2.70
7UP 500ML,RM2.70
MARIGOLD PEEL FRESH ORANGE 300ML,RM2.75
MARIGOLD PEEL FRESH MANGO 300ML,RM2.75
FUZE TEA JASMINE GREEN TEA 500ML,RM2.75
FUZE TEA ICE LEMON TEA 500ML,RM2.75
MARIGOLD PEEL FRESH SOURSOP 300ML,RM2.75
MARIGOLD PEEL FRESH PINK GUAVA 300ML,RM2.75
MARIGOLD PEEL FRESH APPLE ALOE VERA 300ML,RM2.75
PEPSI BLACK 400ML,RM2.90
RIBENA SPARKLING REG CAN 325ML,RM2.90
KICKAPOO 500ML,RM2.90
AUTHENTIC TEA HSE AYATAKA 500ML,RM2.95
AUTHENTIC TEA HOUSE OOLONG TEA 500ML,RM2.95
NESCAFE LATTE CAN 240ML,RM3.00
MILO CAN 240ML,RM3.00
NESCAFE ICE CAN 240ML,RM3.00
SEASONS CHRYSANTHEMUM 1L,RM3.00
MILO ACTIV-GO KAW CAN 240ML,RM3.00
NESCAFE MOCHA CAN 240ML,RM3.00
NESCAFE ORIGINAL CAN 240ML,RM3.00
JIA DUO BAO GOLD CAN HERBAL DRINK 310ML,RM3.05
RED BULL LESS SUGAR 250ML,RM3.05
MARIGOLD PEEL FRESH N/SGR MANGOSTEEN 300ML,RM3.10
MARIGOLD PEEL FRESH N/SGR ORANGE 300ML,RM3.10
MARIGOLD PEEL FRESH N/SGR BERRIES 300ML,RM3.10
GATORADE FIERCE BLUE BOLT 500ML,RM3.10
MARIGOLD PEEL FRESH N/SGR P.VEGE 300ML,RM3.10
GATORADE QUIET STORM 515ML,RM3.10
DRINHO SOYA BEAN 1L,RM3.75
DRINHO CHRYSANTHEMUM TEA 1L,RM3.50
DRINHO WINTER MELON 1L,RM3.50
DRINHO LYCHEE 1L,RM3.50
DRINHO GREEN TEA 1L,RM3.50
RIBENA MOBILE BLACKCURANT 330ML,RM3.20
POCARI SWEAT BOTTLE 500ML,RM3.20
RIBENA MOBILE STRAWBERRY 330ML,RM3.20
YOU.C1000 LEMON DRINK 140ML,RM3.25
3 LEGS COOLING WATER 500ML,RM3.25
100 PLUS ACTIVE ASP 1L,RM3.30
ANGLIA SHANDY CAN 320ML,RM3.30
FANTA STRAWBERRY 1.5L,RM3.45
FANTA GRAPE 1.5L,RM3.45
PEPSI 1.5L,RM4.70
7UP REVIVE 1.5L,RM4.70
PEPSI BLACK 1.5L,RM4.70
7UP 1.5L,RM4.70
PEPSI BLACK VANILLA PET 1.5L,RM4.70
NESCAFE DAIRY FREE LATTE ALM 225ML,RM3.50
NESCAFE DAIRY FREE LATTE OAT 225ML,RM3.50
MILO PLANTBASED ACT-GO ALMOND 225ML,RM3.50
MALTA CAN 320ML,RM3.65
LIPTON POTBAGS 20S,RM3.75
MARIGOLD KOPI&TEH TARIK 500G,RM3.75
OYOSHI GREEN TEA HONEY LEMON 1L,RM3.80
RIBENA REGULAR 450ML,RM3.80
SPRITZER SPARKLING MINERAL WATER 1L,RM3.90
HOMESOY NO SUGAR ADDED 1L,RM3.90
MARIGOLD EVAPORATED CREAMER 390GM,RM3.90
HOMESOY ORIGINAL 1L,RM3.90
HOMESOY BROWN SUGAR 1L,RM3.90
HOMESOY HONEY MELON 1L,RM3.90
SPRITE REG MINI CAN 150ML,RM3.90
HONEY B SPARKLING HONEY 250ML,RM3.95
GOLD COIN EVAPORATED CREAMER 390G,RM3.95
DRINHO SOYA CORN 1L,RM3.95
100 PLUS ORIGINAL RS 1.5L,RM4.45
A&W SARSAPARILLA 1.5L,RM4.35
SPRITE 1.5L,RM4.35
100 PLUS ORIGINAL ZERO 1.5L,RM4.45
COCA COLA RASA ASLI 1.5L,RM4.35
COCA-COLA ZERO SUGAR 1.5L,RM4.35
SPRITE ZERO 1.5L,RM4.35
100 PLUS ORIGINAL 1.75L,RM4.45
100 PLUS LEMON LIME 1.5L,RM4.45
ITO-EN OI OCHA GREEN TEA 500ML,RM4.00
MARIGOLD EVAPORATED FILLED MILK 390GM,RM4.10
MARIGOLD SWEETENED CREAMER 500GM,RM4.10
F&N GINGER ADE 1.5L,RM4.25
F&N GRAPE 1.5LTR,RM4.25
F&N SARSI 1.5L,RM4.25
F&N ZAPPEL 1.5L,RM4.25
TEAPOT SWEETENED CREAMER 500G,RM4.25
F&N STRAWBERRY 1.5L,RM4.25
F&N ICE CREAM SODA 1.5L,RM4.25
F&N ORANGE 1.5LTR,RM4.25
