Brand,Products Name,Volume/Weight,Price in RM,Satchets/Units
BOH,BOH EARL GREY TEA 20SX2G,0.002,10.2,20
BOH,BOH S/S LYCHEE WITH ROSE 20'SX2GM,0.002,10.7,20
BOH,BOH S/S PASSION FRUIT 20'SX2GM,0.002,10.7,20
BOH,BOH S/S EARL GREY W TANGERINE 20X2G,0.002,10.7,20
BOH,BOH SERI SONGKET LIME&GINGER 20X2GM,0.002,10.7,20
LIPTON,LIPTON YELLOW LABEL TEABAG 100SX2G,0.002,19.35,100
BOH,BOH ICE TEA PEACH 20'SX14.5GM,0.0145,15.75,20
BOH,BOH ICE TEA LEMON LIME 20'SX14.5GM,0.0145,15.75,20
NESCAFE,NESCAFE GOLD 2IN1 CAF WHITE 12X16G,0.016,16.5,12
AH HUAT,AH HUAT KOPI O NO SUGAR BAG 20X10G,0.01,11.9,20
BOH,BOH T.TARIK KURANG MANIS ORI 12'SX24GM,0.024,18.2,1
ALI MUTHU AH HOCK,ALI MUTHU AH HOCK WHITE COFFEE TAKMAU GULA 15X25G,0.025,18.1,15
BOH,BOH T.TARIK KURANG MANIS HALI12X26,0.026,18.2,1
BOH,BOH GREEN TEA LATTE 12'S*27GM,0.027,18.2,1
BOH,BOH CHAM 12'SX27GM,0.027,18.2,12
MILO,MILO ACTIV-GO LESS SUGAR 10X27G,0.027,14.15,10
AH HUAT,AH HUAT WHITE COFFEE CLASSIC 15X28G,0.028,14.35,15
HORLICKS,HORLICKS 3IN1 ORI 10SX28G,0.028,14.2,10
AH HUAT,AH HUAT WHITE COFFEE LOW FAT N/SUGAR 15X20G,0.02,17.75,15
BOH,BOH CMRN GOLD BLND 60X20,0.02,14.4,60
NESCAFE,NESCAFE GOLD DARK LATTE 12*31G,0.031,16.05,12
NESCAFE,NESCAFE GOLD CREAMY LATTE 12*31G,0.031,16.05,12
ORIENTAL,ORIENTAL WHITE COFFEE NO SUGAR 10SX32G,0.032,21.9,10
HOMESOY,HOMESOY INSTANT BREAKFAST SOYA ORIGINAL 10X32G,0.032,11.35,10
HOMESOY,HOMESOY INSTANT BREAKFAST SOYA MULTIGRAIN 10X32G,0.032,11.35,10
ALI MUTHU AH HOCK,ALI MUTHU AH HOCK WHITE COFFEE KURANG MANIS 15X35G,0.035,18.1,15
CHEKHUP,CHEKHUP 3IN1 IWC LESS SWEET 12'S*35GM,0.035,19.95,12
MILO,MILO ACTIV-GO WHOLE CEREAL 10X36G,0.036,14.95,10
CHEKHUP,CHEKHUP 3IN1 WC CLASSIC 12SX37G,0.037,21.2,12
AH HUAT,AH HUAT WHITE COFFEE GOLD MEDAL 15X38G,0.038,18.75,15
AH HUAT,AH HUAT WHITE COFFEE H/NUT & CANE SUGAR 15X38G,0.038,18.75,15
ORIENTAL,ORIENTAL WHITE COFFEE CLASSIC 10SX38G,0.038,18.9,10
ORIENTAL,ORIENTAL WHITE COFFEE HIMALAYAN SALT 10X38G,0.038,21.9,10
ALICAFE,ALICAFE T/A GINSENG 5IN1 ORIGINAL 30G,0.03,19.7,1
CHEKHUP,CHEKHUP 2IN1 IWC COFFEE&CREAMER 12'S*30GM,0.03,19.95,12
AH HUAT,AH HUAT WHITE COFFEE EXTRA RICH 15X40G,0.04,17.75,15
AHMAD TEA,AHMAD TEA GREEN TEA PURE 20X40G,0.04,11.7,20
AHMAD TEA,AHMAD TEA JASMINE ROMANCE 20X40G,0.04,12.05,20
AHMAD TEA,AHMAD TEA EARL GREY 20X40G,0.04,12.5,20
AHMAD TEA,AHMAD TEA MANGO 20X40G,0.04,12.95,20
AHMAD TEA,AHMAD TEA STRAWBERRY 20X40G,0.04,12.95,20
AHMAD TEA,AHMAD TEA APPLE 20X40G,0.04,12.95,20
AHMAD TEA,AHMAD TEA PEACH&PASSION 20X40G,0.04,12.95,20
AHMAD TEA,AHMAD TEA LEMON&LIME 20X40G,0.04,12.95,20
AHMAD TEA,AHMAD TEA B/CURRANT 20X40G,0.04,12.95,20
ORIENTAL,ORIENTAL ROASTED WHITE COFFEE 10SX40G,0.04,21.9,10
ORIENTAL,ORIENTAL TEH TARIK 10X40G,0.04,18.9,10
ORIENTAL,ORIENTAL MOCHA 10X40G,0.04,23.9,10
CHEKHUP,CHEKHUP 3IN1 IWC ORIGINAL 12'S*40GM,0.04,19.95,12
CHEKHUP,CHEKHUP 3IN1 IWC KING 12S*40GM,0.04,19.95,12
STARBUCKS,STARBUCKS CAFFE LATTE CAPS 121G,0.121,33.0,1
ILLY,ILLY CLASSIC ROAST GROUND 125G,0.125,33.15,1
ILLY,ILLY BOLD ROAST GROUND 125G,0.125,33.15,1
MONTEA,MONTEA DAILY TIEGUANYIN (TIN) 125G,0.125,20.15,1
MONTEA,MONTEA DAILY XIANGPIAN (TIN) 125G,0.125,20.15,1
MONTEA,MONTEA DAILY GREEN TEA (TIN) 125G,0.125,20.15,1
MONTEA,MONTEA SIGNATURE XIANPIAN (TIN) 125G,0.125,35.65,1
MONTEA,MONTEA SIGNATURE PU'ER (TIN) 125G,0.125,35.65,1
NESCAFE,NESCAFE DOLCE GUSTO AMERICANO 128G,0.128,33.1,1
137 DEGREES,137 DEGREES ALMOND MILK ORIGINAL 180ML,0.18,4.95,1
137 DEGREES,137 DEGREES ALMOND MILK UNSWEETENED 180ML,0.18,4.95,1
137 DEGREES,137 DEGREES PISTACHIO MILK BELGIAN CHOC 180ML,0.18,5.55,1
137 DEGREES,137 DEGREES ALMOND MILK ORIGINAL 3X180ML,0.18,14.4,3
137 DEGREES,137 DEGREES ALMOND MILK UNSWEETENED 3X180ML,0.18,14.4,3
137 DEGREES,137 DEGREES PISTACHIO MILK BELGIAN CHOC 3X180ML,0.18,16.5,3
