Outlet,Brand,Products Name,Volume/Weight,Satchet/Units,Price in RM
LOTUS,100 PLUS,100 PLUS LEMON LIME (C) PET 1.5L,1.5,1,3.19
LOTUS,100 PLUS,100 PLUS ISOTONIC ZERO 1.5L,1.5,1,3.19
LOTUS,100 PLUS,100 PLUS ISOTONIC DRINK 1.5L,1.5,1,3.19
LOTUS,100 PLUS,100 PLUS ORIGINAL REDUCED SUGAR 1.5L,1.5,1,3.19
LOTUS,100 PLUS,100 PLUS ACTIVE REPLENISH 1L,1,1,2.95
LOTUS,100 PLUS,100PLUS ACTIVE REPLENISH 300MLX4,0.3,4,6.2
LOTUS,100 PLUS,100 PLUS ISOTONIC 325ML,0.325,1,1.65
LOTUS,100 PLUS,100 PLUS ISOTONIC 500ML,0.5,1,2.05
LOTUS,100 PLUS,100 PLUS LEMON LIME 500ML,0.5,1,2.05
LOTUS,100 PLUS,100 PLUS ISOTONIC DRINK 6X325ML,0.325,6,9.79
LOTUS,3 LEGS,3 LEGS COOLING WATER 200MLX6,0.2,6,8.19
LOTUS,3 LEGS,3 LEGS COOLING WATER 500ML,0.5,1,3.1
LOTUS,7UP,7UP BOTTLE 1.5L,1.5,1,3.19
LOTUS,7UP,7UP FREE 1.5L,1.5,1,3.39
LOTUS,7UP,7UP 320MLX4,0.32,4,6.79
LOTUS,7UP,7UP BTL 500ML,0.5,1,2.5
LOTUS,A&W,A&W SARSAPARILLA BOTTLE DRINK 1.5L,1.5,1,2.89
LOTUS,A&W,A&W SARSAPARILLA BOTTLE 500ML,0.5,1,2.39
LOTUS,ABBOTT,ABBOTT GLUCERNA VANILLA 850G,0.85,1,135.99
LOTUS,ABBOTT,ABBOTT PEDIASURE 10+ CHILDREN’S MILK FORMULA (VANILLA) 850G | FOR AGE 10~15 YEARS OLD,0.85,1,106.59
LOTUS,AH HUAT,AH HUAT WHITE COFFEE GOLD MEDAL FD 38G X 15S,0.038,15,16.99
LOTUS,AH HUAT,AH HUAT CLASSIC WHITE COFFEE 15SX28G,0.028,15,15.65
LOTUS,AH HUAT,AH HUAT WHITE COFFEE KOPITIAM CHARCOAL ROAST 15SX28G,0.028,15,15.65
LOTUS,AH HUAT,AH HUAT HAINAN TEA 15SX32G,0.032,15,16.5
LOTUS,AH HUAT,AH HUAT EXTRA RICH WHITE COFFEE 15SX36G,0.036,15,15.65
LOTUS,AH HUAT,AH HUAT LOW FAT NO SUGAR WHITE COFFEE 15 X 20G,0.02,15,15.65
LOTUS,AH HUAT,AH HUAT HERBAL TEA 310ML,0.31,1,2.25
LOTUS,AH HUAT,AH HUAT HERBAL TEA 310MLX6,0.31,6,13.2
LOTUS,AHMAD TEA,AHMAD TEA ENG B/FAST (TAGLESS)100TB,,100,18.25
LOTUS,AHMAD TEA,AHMAD TEA JASMINE GREEN TEA 100S,,100,18.9
LOTUS,AHMAD TEA,AHMAD TEA EARL GREY 100S,,100,19.99
LOTUS,AHMAD TEA,AHMAD TEA LEMON AND GINGER 20S,,20,9.2
LOTUS,AHMAD TEA,AHMAD TEA F/FLAV LMN+LIME 20S,,20,11.5
LOTUS,AHMAD TEA,AHMAD TEA F/FLAV MANGO 20S,,20,11.5
LOTUS,AHMAD TEA,AHMAD TEA FLAVOURED PEACH&PASSION FRUIT 20S,,20,11.5
LOTUS,AHMAD TEA,AHMAD TEA FLAVOURED STRAWBERRY 20S,,20,11.5
LOTUS,AHMAD TEA,AHMAD TEA CAMOMILE AND LEMONGRASS 20S,,20,11.89
LOTUS,AHMAD TEA,AHMAD TEA FRUIT TEA SELECTION 20S,,20,14.75
LOTUS,AHMAD TEA,AHMAD TEA JASMINE GREEN TEA 25S,,25,4.99
LOTUS,AHMAD TEA,AHMAD TEA LONDON BLEND 25S,,25,5.6
LOTUS,AHMAD TEA,AHMAD TEA GREEN TEA 25S,,25,5.99
LOTUS,AHMAD TEA,AHMAD TEA EARL GREY 25S,,25,5.99
LOTUS,AHMAD TEA,AHMAD TEA CEYLON 25S,,25,6.35
LOTUS,AHMAD TEA,AHMAD TEA LONDON FRUIT & HERB 20 FOIL WRAPPED TEA BAGS 20 X 2G,0.002,20,9.99
LOTUS,AHMAD TEA,AHMAD TEA ENG BREAKFAST TAGLESS 40S,,40,11.15
LOTUS,AIK CHEONG,AIK CHEONG KOPI O ECONOMY PACK 10GX100S,0.01,100,25.9
LOTUS,AIK CHEONG,AIK CHEONG COFFEE BAG 10GX20,0.01,20,6.99
LOTUS,AIK CHEONG,AIK CHEONG COFFEE BAG 2 IN 1 15G,0.015,1,9.2
LOTUS,AIK CHEONG,AIK CHEONG TEH TARIK COMBO 4IN1 15X40G,0.04,15,12.49
LOTUS,AIK CHEONG,AIK CHEONG COFFEE BAG 18GX12,0.018,12,6.99
LOTUS,AIK CHEONG,AIK CHEONG INSTANT COFFEEMIX 3 IN 1 18GX25,0.018,25,9.45
LOTUS,AIK CHEONG,AIK CHEONG 3IN1 INST COFFEE RICH 18GX25S,0.018,25,8.99
LOTUS,AIK CHEONG,AIK CHEONG 3IN1 INSTANT COFFEE BROWN SUGAR 18GX25S,0.018,25,8.99
LOTUS,AIK CHEONG,AIK CHEONG TEH TARIK KOSONG 25GX12S,0.025,12,12.49
LOTUS,AIK CHEONG,AIK CHEONG W/C KOSONG 30GX12S,0.03,12,12.4
LOTUS,AIK CHEONG,AIK CHEONG W/C ORIGINAL 38GX12S,0.038,12,12.4
LOTUS,AIK CHEONG,AIK CHEONG W/C LESS SWEET 38GX12S,0.038,12,12.4
LOTUS,AIK CHEONG,AIK CHEONG TEH TARIK KLASIK 38GX12S,0.038,12,12.4
LOTUS,AIK CHEONG,AIK CHEONG TEH TARIK HALIA 38GX12S,0.038,12,12.49
LOTUS,AIK CHEONG,AIK CHEONG W/C HAZELNUT 38GX12S,0.038,12,15.29
LOTUS,AKIF CAFE,AKIFCAFE MOCHA LATTE 3 IN 1 30GX10S,0.03,10,8.89
LOTUS,AKIF CAFE,AKIFCAFE LATTE 3 IN 1 30GX10S,0.03,10,8.89
